@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
80,14,4,16,4,0,?
121,22,6,32,4,1,?
79,10,5,7,0,0,?
124,25,5,22,3,0,?
94,11,5,7,0,0,?
76,8,6,9,2,0,?
158,37,5,69,7,0,?
72,7,4,29,0,0,?
222,36,14,153,0,0,?
216,23,23,61,0,1,?
123,0,6,81,0,0,?
114,0,4,38,0,0,?
174,12,9,146,0,0,?
165,21,9,55,0,0,?
101,11,4,34,0,0,?
144,12,5,52,0,0,?
107,10,4,37,0,0,?
335,15,17,205,4,0,?
149,12,7,58,2,0,?
99,8,4,31,0,0,?
289,32,20,136,4,0,?
153,6,13,47,0,0,?
214,19,10,145,1,2,?
90,5,3,95,0,0,?
69,6,5,55,0,0,?
383,29,30,94,0,3,?
39,3,2,16,0,0,?
74,13,3,18,0,0,?
159,18,10,78,0,0,?
60,1,4,15,0,0,?
65,2,4,15,0,0,?
125,6,8,51,0,4,?
61,5,2,16,0,0,?
258,30,15,119,0,0,?
171,17,7,50,0,0,?
97,6,2,76,0,0,?
172,18,9,53,0,1,?
420,40,26,261,0,0,?
80,5,9,10,0,0,?
93,2,7,45,0,0,?
176,13,7,124,0,0,?
73,2,4,33,0,0,?
327,33,17,231,8,1,?
111,9,7,53,0,0,?
124,8,7,68,0,0,?
70,5,4,11,2,0,?
62,4,3,16,0,0,?
84,9,3,26,2,0,?
260,22,21,147,0,1,?
118,9,5,54,0,0,?
68,3,7,16,0,0,?
128,8,10,64,0,0,?
74,4,10,11,0,0,?
81,12,7,26,2,1,?
108,19,6,30,0,0,?
109,4,14,32,0,0,?
104,9,9,12,0,1,?
37,1,3,5,0,0,?
57,2,4,9,0,0,?
87,3,10,24,0,0,?
120,2,6,94,0,0,?
421,66,33,231,0,1,?
35,6,1,12,0,0,?
177,23,11,47,1,0,?
164,13,8,88,0,0,?
63,6,4,19,0,0,?
220,20,11,137,0,0,?
439,53,27,206,0,0,?
334,37,22,124,0,1,?
167,23,7,80,0,0,?
72,10,4,17,0,0,?
231,40,19,83,0,1,?
141,9,4,89,0,0,?
284,36,18,213,0,0,?
254,21,17,114,0,0,?
352,43,18,198,2,1,?
134,7,13,39,0,2,?
245,19,24,65,0,0,?
143,6,8,42,0,0,?
934,87,50,597,0,4,?
179,12,6,51,0,0,?
122,8,7,24,0,2,?
59,4,4,10,0,0,?
