@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
195,9,19,7,0,12,?
127,10,18,2,0,3,?
17,1,2,0,0,0,?
19,2,2,1,0,0,?
23,2,2,6,0,1,?
315,39,3,49,0,64,?
107,9,15,22,0,7,?
178,23,3,27,0,32,?
41,6,2,7,0,1,?
196,15,27,45,0,14,?
162,22,3,42,1,27,?
85,27,0,13,0,0,?
64,5,9,13,0,4,?
45,3,1,36,1,1,?
56,8,2,13,1,1,?
31,2,1,16,0,0,?
45,7,2,15,0,1,?
40,6,1,14,1,1,?
65,13,2,27,0,1,?
6,0,0,0,0,0,?
42,4,8,0,0,0,?
31,3,6,0,0,0,?
33,3,6,0,0,0,?
37,2,6,0,0,0,?
43,3,8,0,0,0,?
24,2,4,0,0,0,?
31,3,6,0,0,0,?
31,3,6,0,0,0,?
5,0,0,0,0,0,?
5,0,0,0,0,0,?
16,1,2,0,0,0,?
13,1,2,0,0,0,?
21,1,3,1,0,0,?
23,2,4,0,0,0,?
5,0,0,0,0,0,?
23,2,4,0,0,0,?
5,0,0,0,0,0,?
4,0,0,0,0,0,?
31,2,4,0,0,0,?
4,0,0,0,0,0,?
79,7,14,0,0,0,?
5,0,0,0,0,0,?
5,0,0,0,0,0,?
19,2,4,0,0,0,?
38,3,6,0,0,0,?
5,0,0,0,0,0,?
5,0,0,0,0,0,?
5,0,0,0,0,0,?
20,1,4,0,0,0,?
5,0,0,0,0,0,?
29,2,6,0,0,0,?
35,3,6,0,0,0,?
29,2,6,0,0,0,?
5,0,0,0,0,0,?
17,1,2,0,0,0,?
61,5,12,0,0,0,?
32,2,6,0,0,0,?
24,2,4,0,0,0,?
174,16,34,0,0,0,?
87,9,18,0,0,0,?
15,1,2,0,0,0,?
16,1,2,0,0,0,?
5,0,0,0,0,0,?
5,0,0,0,0,0,?
16,1,2,0,0,0,?
423,87,31,148,10,0,?
27,2,4,0,0,0,?
13,1,2,0,0,0,?
36,4,1,12,2,1,?
8,0,0,0,0,0,?
18,1,2,0,0,0,?
61,12,4,28,0,0,?
194,15,2,72,1,25,?
67,5,2,13,0,6,?
45,4,8,0,0,0,?
45,4,8,0,0,0,?
76,12,3,19,0,0,?
32,3,3,0,0,0,?
40,2,3,6,0,0,?
55,9,5,21,0,0,?
28,2,4,0,0,0,?
83,13,8,20,3,0,?
37,5,2,14,0,0,?
1853,386,41,505,0,0,?
648,32,16,399,6,33,?
105,7,16,35,1,1,?
79,5,6,44,0,0,?
38,3,6,0,0,0,?
177,31,7,53,0,0,?
537,44,94,11,0,1,?
48,7,3,10,0,2,?
35,5,1,8,0,0,?
182,22,6,20,5,15,?
35,3,6,0,0,0,?
22,0,2,1,0,0,?
26,2,2,2,0,0,?
34,4,2,7,0,0,?
87,5,3,8,0,1,?
58,4,3,9,0,1,?
61,4,8,20,0,3,?
135,8,19,0,0,0,?
155,10,23,0,0,0,?
199,16,33,0,0,0,?
79,4,10,0,0,0,?
59,4,8,20,0,3,?
106,6,14,0,0,0,?
153,10,23,0,0,0,?
132,9,21,0,0,0,?
39,5,5,6,0,0,?
20,2,1,5,0,0,?
19,2,1,4,0,0,?
32,4,1,13,0,0,?
36,4,5,5,0,0,?
42,6,9,6,0,0,?
26,0,3,1,0,0,?
6,0,0,0,0,0,?
14,2,1,2,1,0,?
61,14,3,25,2,0,?
42,9,3,10,3,0,?
127,11,18,20,0,0,?
131,12,18,20,0,0,?
227,30,24,50,2,10,?
23,1,4,0,0,0,?
81,12,3,12,4,2,?
906,100,200,0,0,0,?
906,100,200,0,0,0,?
41,9,3,10,3,0,?
54,14,3,9,3,0,?
54,15,3,9,3,0,?
55,15,3,16,3,0,?
74,18,4,13,4,0,?
55,14,3,9,3,0,?
54,15,3,9,3,0,?
73,19,4,13,4,0,?
54,14,3,9,3,0,?
55,15,3,16,3,0,?
56,15,3,16,3,0,?
56,15,3,16,3,0,?
67,18,4,13,4,0,?
87,26,6,21,6,0,?
90,26,6,21,6,0,?
53,14,3,9,3,0,?
56,14,4,9,3,0,?
75,18,4,13,4,0,?
102,30,7,25,7,0,?
73,18,4,13,4,0,?
53,15,3,9,3,0,?
55,15,3,16,3,0,?
54,14,3,9,3,0,?
30,6,2,6,3,0,?
55,15,3,16,3,0,?
53,14,3,9,3,0,?
28,3,2,2,1,0,?
24,3,2,1,1,0,?
22,1,2,1,0,1,?
23,2,2,1,0,0,?
28,3,2,3,1,0,?
26,3,2,2,1,0,?
26,3,2,2,1,0,?
24,3,2,1,1,0,?
24,3,2,1,1,0,?
34,4,2,8,1,0,?
31,1,3,1,0,0,?
24,3,2,1,1,0,?
24,3,2,2,1,0,?
38,5,2,8,1,0,?
71,6,2,25,0,1,?
28,3,2,2,1,0,?
64,1,1,7,0,0,?
30,3,2,7,1,1,?
22,1,2,2,0,0,?
53,6,5,8,0,0,?
100,9,6,30,0,0,?
22,1,2,2,0,0,?
29,3,2,4,1,0,?
21,1,2,2,0,0,?
30,3,2,6,1,1,?
34,2,2,5,0,1,?
22,2,2,1,1,0,?
32,2,3,4,0,1,?
34,4,2,7,1,0,?
30,3,2,6,1,1,?
47,6,3,9,1,1,?
51,13,3,20,2,0,?
10,0,1,1,0,0,?
68,13,3,21,2,0,?
51,13,3,21,2,0,?
82,18,6,27,5,0,?
110,6,9,7,0,5,?
110,14,3,63,0,0,?
149,18,5,16,1,12,?
148,45,4,13,11,2,?
28,7,1,1,0,0,?
31,3,1,8,0,0,?
29,2,1,4,0,0,?
302,22,43,0,0,0,?
45,5,9,0,0,0,?
30,4,1,8,0,0,?
100,22,5,31,4,0,?
86,7,12,0,0,0,?
59,6,10,0,0,0,?
38,3,5,0,0,0,?
575,107,9,19,24,35,?
17,2,1,3,0,0,?
111,10,13,18,0,0,?
102,10,2,22,1,2,?
81,13,2,22,2,2,?
37,3,6,0,0,0,?
58,5,10,0,0,0,?
906,100,200,0,0,0,?
906,100,200,0,0,0,?
906,100,200,0,0,0,?
906,100,200,0,0,0,?
906,100,200,0,0,0,?
14,0,1,1,0,0,?
27,1,2,0,0,0,?
29,2,4,0,0,0,?
30,2,2,0,0,0,?
14,1,0,0,0,0,?
25,2,2,0,0,0,?
30,2,4,0,0,0,?
25,2,2,0,0,0,?
52,5,10,0,0,0,?
301,29,57,18,0,0,?
51,5,8,0,0,0,?
85,8,17,0,0,0,?
105,16,5,26,3,2,?
24,6,1,0,0,0,?
16,3,1,0,0,0,?
15,3,1,0,0,0,?
20,7,0,0,0,0,?
22,9,0,0,0,0,?
20,6,1,0,0,0,?
18,3,1,0,0,0,?
17,4,0,0,0,0,?
89,5,10,22,0,0,?
52,1,9,7,0,0,?
73,1,9,14,0,0,?
51,0,9,9,0,1,?
88,12,10,16,0,0,?
188,26,13,69,1,1,?
92,8,10,19,0,0,?
93,5,11,22,0,0,?
63,2,10,11,0,0,?
53,2,9,5,0,0,?
80,7,10,19,0,0,?
69,5,10,14,0,0,?
25,0,9,0,0,0,?
52,1,9,7,0,0,?
101,31,4,14,7,2,?
10,0,1,2,0,0,?
71,14,4,20,3,0,?
21,1,2,0,0,0,?
33,6,2,6,2,0,?
641,48,97,0,0,0,?
45,3,6,0,0,0,?
88,9,18,0,0,0,?
85,13,4,22,3,0,?
114,32,5,15,7,1,?
7,0,0,0,0,0,?
108,20,7,21,3,7,?
46,11,1,23,0,0,?
31,8,1,10,0,0,?
39,8,2,4,3,1,?
24,3,1,1,0,0,?
7,0,0,0,0,0,?
16,1,2,0,0,0,?
25,4,1,3,0,0,?
32,6,2,6,2,0,?
32,6,2,6,2,0,?
36,2,7,0,0,0,?
52,12,3,12,2,0,?
46,3,2,3,1,5,?
26,5,2,5,2,0,?
32,6,2,6,2,0,?
75,15,3,10,0,4,?
83,15,9,22,0,0,?
145,23,11,41,8,0,?
20,2,1,3,0,0,?
19,2,1,3,0,0,?
67,6,12,0,0,0,?
217,32,3,45,1,39,?
19,2,1,3,0,0,?
6,0,0,0,0,0,?
24,2,4,0,0,0,?
57,12,3,9,3,0,?
55,15,3,13,4,0,?
23,1,1,6,0,0,?
40,7,2,10,2,0,?
89,19,9,16,4,0,?
98,30,4,14,7,2,?
14,1,2,0,0,0,?
62,8,7,20,0,0,?
16,1,2,0,0,0,?
15,1,2,0,0,0,?
72,19,5,27,6,0,?
26,0,0,0,0,0,?
143,9,13,22,0,19,?
50,3,4,0,0,0,?
8,0,0,0,0,0,?
111,3,16,5,1,1,?
152,10,16,13,0,19,?
204,12,20,28,0,28,?
202,14,22,18,0,29,?
34,3,5,0,0,0,?
40,3,6,1,0,0,?
23,3,1,2,0,0,?
243,17,13,111,0,24,?
57,8,3,19,1,0,?
227,27,10,102,0,3,?
125,15,15,18,2,0,?
55,4,9,6,0,0,?
135,18,5,68,2,0,?
53,9,3,18,2,0,?
64,12,3,15,3,0,?
23,3,1,4,1,0,?
129,15,15,22,2,0,?
59,9,3,21,2,0,?
49,10,3,12,3,0,?
7,0,0,0,0,0,?
301,22,17,107,7,41,?
45,9,3,10,3,0,?
46,9,3,10,3,0,?
54,9,3,17,2,0,?
55,8,5,14,0,0,?
98,21,6,9,6,0,?
62,7,3,15,0,4,?
18,0,3,0,0,0,?
26,4,1,9,0,0,?
30,5,2,4,0,0,?
47,5,5,5,0,0,?
34,5,3,4,0,0,?
28,6,1,2,0,0,?
